id;pays;region;ville;telephone_1;telephone_2
1;synthesize invoice Jewelery;virtual;Bermudian Dollar (customarily known as Bermuda Dollar);Pennsylvania;Consultant models overriding
2;matrix function;copying;redundant Awesome Metal Chips Personal Loan Account;holistic;Tugrik interface Assistant
3;overriding neural transmit;Central;Rubber evolve;Avon monitor;extranet
4;Buckinghamshire Practical;Tactics Borders Object-based;Small Fresh Chicken indexing;TCP;Quality
5;Soft payment;Metal bluetooth Rhode Island;Berkshire Practical Steel Tuna Cambridgeshire;process improvement Turkmenistan Executive;Computers
6;Soft;Isle;transmitter National;quantify sensor;incremental
7;Beauty action-items;Savings Account Soft;Norfolk Island Tasty Licensed Granite Chicken;withdrawal connect Auto Loan Account;Games paradigm invoice
8;Senegal Berkshire drive;Gorgeous Metal Fish;tertiary;Generic Credit Card Account capacitor;Generic Plastic
9;Refined HDD;Integration quantify;wireless Central Down-sized;Pants local area network Mall;Personal Loan Account cross-media
10;payment Forward Lithuania;bypassing;bandwidth unleash;Home;cross-platform overriding
