id;libele;description
1;interactive;programming Multi-tiered users
2;Buckinghamshire;Checking Account backing up Ramp
3;Corporate deposit value-added;Jewelery port Rustic Fresh Pizza
4;Infrastructure secondary;Lodge Fish
5;Berkshire;solid state hacking Avon
6;interface Money Market Account Practical;brand feed
7;index Bedfordshire Avon;methodology back-end Malaysia
8;invoice maroon withdrawal;Awesome Rubber Shoes cross-media
9;Netherlands portals invoice;Producer
10;holistic AGP program;Berkshire Trinidad and Tobago Dollar
