id;libelle;description;lien_ressource_vod;path_logo;code;resume
1;streamline;Movies;auxiliary Buckinghamshire;technologies Home;6d686631-aa44-4507-8c21-605df7dd2c4f;Applications
2;Fords leading edge unleash;Quality-focused ADP array;Money Market Account;Court Group;04a10462-7760-4fc5-a1e3-0c54d8cf560d;Plaza
3;Sausages AGP;Designer;productize;Somali Shilling;68e16cf4-60cf-44ea-b1be-e513ae742a56;quantify Chile
4;capacitor navigate intuitive;JBOD Mouse Rustic;feed;schemas;ffcdaa6a-cce5-481c-b94f-4a32382729e2;Rapid
5;Investment Account Canadian Dollar program;compress strategize Balanced;Small Rubber Chair next-generation Delaware;internet solution;c838a898-b9f8-4025-be06-779ead02037f;Cheese
6;transmit Rubber firewall;Arizona Refined Incredible;bottom-line Borders;deliverables sky blue;89dcfc14-72cc-4984-82da-cf1edf4d8f5b;Estonia
7;Unbranded;platforms productivity;Bedfordshire Music Practical;cross-media;4a3515df-167f-4566-b387-dc9da38aa92b;Sleek Awesome Buckinghamshire
8;XML productivity;Nevada;Bedfordshire;Assurance;e8d51bb0-d565-4021-a214-d7c71bc1d59d;Finland Alabama Self-enabling
9;User-friendly convergence background;TCP recontextualize;B2C complexity;bluetooth;be878574-1871-4ed5-afe4-0526419322e2;Concrete
10;British Indian Ocean Territory (Chagos Archipelago) Steel;National;24/7;overriding Oregon synergy;0867b5b8-9f61-4334-b695-539a12801074;coherent Personal Loan Account Sierra Leone
